Date,Time,Open,High,Low,Close
01/10/2000,00:00,7793.5,7815.5,7043.5,7435.5
01/17/2000,00:00,7535.5,7931.5,7434.0,7834.5
01/24/2000,00:00,7868.5,7943.5,7552.5,7621.0
01/31/2000,00:00,7665.5,7850.0,7439.5,7700.5
02/07/2000,00:00,7634.5,8079.5,7439.5,8008.5
02/14/2000,00:00,8006.5,8440.5,7873.5,8315.5
02/21/2000,00:00,8206.5,8312.0,7970.5,8206.0
02/28/2000,00:00,8088.5,8429.5,8065.5,8393.5
03/06/2000,00:00,8345.5,8638.5,8107.0,8576.0
03/13/2000,00:00,8580.5,8741.5,8250.5,8594.5
03/20/2000,00:00,8545.5,8545.5,8017.5,8384.5
03/27/2000,00:00,8422.5,8603.0,8322.5,8559.5
04/03/2000,00:00,8565.5,8688.5,8049.0,8210.5
04/10/2000,00:00,8216.5,8288.5,7850.5,8155.5
04/17/2000,00:00,8205.5,8245.5,7542.5,7830.5
04/25/2000,00:00,7585.5,7964.0,7542.5,7825.5
05/02/2000,00:00,7796.5,8197.0,7721.5,8066.5
05/09/2000,00:00,8100.5,8204.0,7853.0,8028.0
05/16/2000,00:00,8015.5,8031.0,7637.0,7825.5
05/23/2000,00:00,7886.5,8025.5,7441.0,7541.0
05/30/2000,00:00,7597.5,7773.0,7417.0,7641.5
06/06/2000,00:00,7657.5,8080.5,7652.5,8007.5
06/13/2000,00:00,8025.5,8080.5,7778.5,7845.5
06/20/2000,00:00,7841.5,8070.5,7778.5,7911.0
06/27/2000,00:00,7922.0,7952.5,7638.0,7710.5
07/04/2000,00:00,7715.5,7747.0,7506.5,7634.0
07/11/2000,00:00,7590.5,7793.5,7560.5,7731.5
07/18/2000,00:00,7715.5,8115.5,7619.0,8078.5
07/25/2000,00:00,8050.5,8155.0,7948.0,7964.5
08/01/2000,00:00,7956.5,8012.5,7720.5,7876.5
08/08/2000,00:00,7876.5,7881.5,7599.5,7775.5
08/15/2000,00:00,7760.5,8010.0,7725.5,7953.5
08/22/2000,00:00,7999.5,8010.0,7779.5,7818.5
08/29/2000,00:00,7840.5,8024.5,7780.5,7968.5
09/05/2000,00:00,7948.0,8073.5,7785.5,8069.0
09/12/2000,00:00,8064.0,8064.0,7738.5,7830.0
09/19/2000,00:00,7790.5,7812.5,7532.0,7570.5
09/26/2000,00:00,7560.5,7650.0,7170.0,7450.5
10/04/2000,00:00,7430.0,7582.5,7391.5,7550.5
10/11/2000,00:00,7530.5,7592.5,7131.0,7345.5
10/18/2000,00:00,7265.5,7349.5,6947.5,7195.0
10/25/2000,00:00,7150.0,7489.5,6947.5,7473.5
11/01/2000,00:00,7412.0,7749.5,7345.5,7729.5
11/08/2000,00:00,7738.5,7829.0,7640.5,7723.0
11/15/2000,00:00,7759.5,7775.0,7325.5,7591.5
11/22/2000,00:00,7566.5,7594.5,7101.0,7295.5
11/29/2000,00:00,7251.5,7427.5,7092.5,7251.5
12/06/2000,00:00,7204.5,7328.0,6959.5,7238.5
12/13/2000,00:00,7305.5,7422.0,7109.5,7345.0
12/20/2000,00:00,7395.5,7411.5,6892.5,7175.5
12/27/2000,00:00,7050.5,7105.5,6776.0,6939.5
01/03/2001,00:00,6968.5,7140.5,6832.0,6945.5
01/10/2001,00:00,6905.5,7180.0,6832.0,7035.5
01/17/2001,00:00,7065.5,7322.0,6944.0,7166.5
01/24/2001,00:00,7206.5,7399.0,7206.5,7351.5
01/31/2001,00:00,7373.0,7433.5,7297.0,7372.5
02/07/2001,00:00,7386.5,7430.0,7224.5,7321.5
02/14/2001,00:00,7277.5,7299.0,7083.0,7200.5
