Date,Time,Open,High,Low,Close
01/03/2000,00:00,7793.5,7815.5,7372.5,7410.0
01/04/2000,00:00,7405.5,7405.5,7161.5,7235.5
01/05/2000,00:00,7072.5,7227.5,7068.5,7137.5
01/06/2000,00:00,7129.5,7182.5,7043.5,7111.0
01/07/2000,00:00,7165.5,7440.5,7154.5,7435.5
01/10/2000,00:00,7535.5,7624.5,7507.5,7565.5
01/11/2000,00:00,7545.5,7586.5,7466.5,7544.0
01/12/2000,00:00,7465.5,7552.0,7434.0,7538.5
01/13/2000,00:00,7545.5,7750.5,7529.0,7614.5
01/14/2000,00:00,7655.5,7851.5,7655.5,7834.5
01/17/2000,00:00,7868.5,7931.5,7752.0,7912.5
01/18/2000,00:00,7912.5,7943.5,7695.5,7728.5
01/19/2000,00:00,7695.5,7754.5,7620.5,7733.5
01/20/2000,00:00,7821.5,7833.0,7713.0,7745.5
01/21/2000,00:00,7675.5,7738.5,7568.5,7621.0
01/24/2000,00:00,7665.5,7725.5,7552.5,7555.5
01/25/2000,00:00,7486.5,7538.5,7447.5,7496.5
01/26/2000,00:00,7521.5,7610.0,7464.5,7595.0
01/27/2000,00:00,7629.5,7802.5,7568.5,7765.5
01/28/2000,00:00,7745.5,7850.0,7670.5,7700.5
01/31/2000,00:00,7634.5,7638.0,7439.5,7463.5
02/01/2000,00:00,7566.5,7660.5,7524.5,7646.5
02/02/2000,00:00,7704.5,7786.5,7656.5,7785.0
02/03/2000,00:00,7805.5,7973.5,7758.0,7963.5
02/04/2000,00:00,8023.0,8079.5,7951.5,8008.5
02/07/2000,00:00,8006.5,8033.0,7873.5,7921.0
02/08/2000,00:00,7913.5,8183.5,7905.5,8147.5
02/09/2000,00:00,8168.5,8291.5,8141.5,8264.5
02/10/2000,00:00,8151.5,8298.5,8134.0,8279.5
02/11/2000,00:00,8353.5,8440.5,8201.5,8315.5
02/14/2000,00:00,8206.5,8289.0,8170.5,8259.5
02/15/2000,00:00,8264.5,8312.0,8035.5,8047.0
02/16/2000,00:00,8168.0,8190.5,7970.5,8132.0
02/17/2000,00:00,8129.5,8257.5,8011.0,8245.5
02/18/2000,00:00,8213.5,8282.5,8169.0,8206.0
02/21/2000,00:00,8088.5,8178.5,8065.5,8172.5
02/22/2000,00:00,8165.5,8338.5,8156.5,8235.0
02/23/2000,00:00,8265.0,8391.5,8254.5,8317.0
02/24/2000,00:00,8395.5,8429.5,8193.5,8245.5
02/25/2000,00:00,8358.5,8398.5,8270.5,8393.5
02/28/2000,00:00,8345.5,8370.5,8107.0,8195.5
02/29/2000,00:00,8255.5,8322.0,8229.5,8293.5
03/01/2000,00:00,8341.5,8383.5,8232.5,8330.5
03/02/2000,00:00,8345.0,8565.5,8241.0,8560.5
03/03/2000,00:00,8545.5,8638.5,8496.0,8576.0
03/06/2000,00:00,8580.5,8617.5,8540.5,8584.5
03/07/2000,00:00,8644.5,8741.5,8531.0,8668.5
03/08/2000,00:00,8608.5,8721.5,8560.5,8585.5
03/09/2000,00:00,8662.5,8680.5,8487.0,8572.5
03/10/2000,00:00,8655.5,8664.5,8562.0,8594.5
03/13/2000,00:00,8545.5,8545.5,8250.5,8298.0
03/14/2000,00:00,8335.5,8360.5,8251.5,8265.5
03/15/2000,00:00,8165.5,8198.5,8017.5,8051.5
03/16/2000,00:00,8125.5,8246.0,8073.0,8203.5
03/17/2000,00:00,8440.5,8483.0,8223.5,8384.5
03/20/2000,00:00,8422.5,8536.5,8388.0,8524.5
03/21/2000,00:00,8505.5,8512.0,8392.0,8463.5
03/22/2000,00:00,8526.5,8603.0,8437.0,8453.5
03/23/2000,00:00,8492.0,8515.5,8322.5,8406.5
03/24/2000,00:00,8458.5,8568.5,8400.5,8559.5
03/27/2000,00:00,8565.5,8585.5,8483.0,8552.0
03/28/2000,00:00,8545.5,8688.5,8537.5,8577.5
03/29/2000,00:00,8567.5,8617.0,8512.5,8541.5
03/30/2000,00:00,8435.5,8447.5,8266.5,8303.5
