Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5128205128205128,0.25729166666666664,0.2597304827166224,0.14583333333333334,0.11145833333333334,0.5571428571428572,0.45482866043613707,0.1465798045602606,0.10846153846153846,0.5,0.013888888888888888,0.006611020426851636,0.013888888888888888,0.0,0.5,0,0.0125,0.0,0.0,0.013888888888888888,-0.02401062567245128,0.013888888888888888,0.0,0.0,0,0.0,0.0
1,0.5605749486652978,0.16909722222222223,0.9079642608177075,0.09027777777777778,0.07881944444444444,0.6192307692307693,0.4933920704845815,0.10293159609120521,0.08307692307692308,0.6527777777777778,0.5,0.05911872438200788,0.4513888888888889,0.04861111111111111,0.6923076923076923,0.2857142857142857,0.525,0.03389830508474576,0.5757575757575758,0.4583333333333333,0.004890599364159258,0.4097222222222222,0.04861111111111111,0.559322033898305,0.7142857142857143,0.3924050632911392,0.06557377049180328
2,0.5551839464882943,0.2076388888888889,0.6009035318991477,0.12604166666666666,0.08159722222222222,0.5840220385674931,0.5106382978723404,0.13289902280130292,0.09076923076923077,0.5882352941176471,0.2361111111111111,0.007901584974722292,0.22916666666666666,0.006944444444444444,0.5757575757575758,1.0,0.2375,0.01694915254237288,0.6216216216216216,0.2569444444444444,-0.0004100558486762121,0.25,0.006944444444444444,0.6388888888888888,0.0,0.26582278481012656,0.0
3,0.6063268892794376,0.19756944444444444,1.1410640123776794,0.12916666666666668,0.06840277777777778,0.6424731182795699,0.5380710659898477,0.152442996742671,0.08,0.5925925925925926,0.1875,-0.005739537926869915,0.1875,0.0,0.5925925925925926,0,0.1875,0.0,0.5625,0.1111111111111111,-0.00934991033521132,0.1111111111111111,0.0,0.5625,0,0.10126582278481013,0.0
4,0.6060606060606061,0.21770833333333334,1.4678801762498555,0.13194444444444445,0.08576388888888889,0.6394736842105263,0.5546558704453441,0.1543973941368078,0.10153846153846154,0.75,0.08333333333333333,0.037431056648352286,0.08333333333333333,0.0,0.75,0,0.1125,0.0,0.5,0.06944444444444445,-0.007298807941899994,0.05555555555555555,0.013888888888888888,0.625,0.0,0.05063291139240506,0.0
5,0.5993431855500821,0.21145833333333333,1.394202770055866,0.1329861111111111,0.07847222222222222,0.6344647519582245,0.5398230088495575,0.1543973941368078,0.09153846153846154,0.7142857142857143,0.14583333333333334,0.05168990502874901,0.1388888888888889,0.006944444444444444,0.7,1.0,0.175,0.01694915254237288,0.5384615384615384,0.18055555555555555,-0.0030167705090846514,0.1736111111111111,0.006944444444444444,0.56,0.0,0.17721518987341772,0.0
6,0.6110210696920584,0.2142361111111111,1.250185888093512,0.13194444444444445,0.08229166666666667,0.6421052631578947,0.5611814345991561,0.15504885993485343,0.09923076923076923,0.6666666666666666,0.125,-0.007267985333643106,0.0625,0.0625,0.5555555555555556,0.7777777777777778,0.05,0.0847457627118644,0.5555555555555556,0.0625,-0.003840811544004153,0.041666666666666664,0.020833333333333332,0.5,0.6666666666666666,0.0379746835443038,0.03278688524590164
7,0.5771144278606966,0.209375,0.9741378748511863,0.11840277777777777,0.09097222222222222,0.6217008797653959,0.5190839694656488,0.13680781758957655,0.10076923076923076,1.0,0.006944444444444444,0.010226343059721843,0.0,0.006944444444444444,0,1.0,0.0,0.01694915254237288,0,0.0,0,0.0,0.0,0,0,0.0,0.0
8,0.6192307692307693,0.18055555555555555,1.2722305418337856,0.11076388888888888,0.06979166666666667,0.6551724137931034,0.5621890547263682,0.13224755700325733,0.08461538461538462,0.5555555555555556,0.0625,-0.0004111427074333443,0.04861111111111111,0.013888888888888888,0.7142857142857143,0.0,0.0625,0.0,0.6111111111111112,0.125,-0.009599791064271064,0.1111111111111111,0.013888888888888888,0.625,0.5,0.11392405063291139,0.01639344262295082
9,0.6357142857142857,0.19444444444444445,1.4868551942339876,0.10486111111111111,0.08958333333333333,0.695364238410596,0.5658914728682171,0.13355048859934854,0.11,0.6153846153846154,0.2708333333333333,0.023689598908375364,0.22916666666666666,0.041666666666666664,0.6060606060606061,0.6666666666666666,0.2375,0.06779661016949153,0.6216216216216216,0.2569444444444444,0.020098615710050026,0.20833333333333334,0.04861111111111111,0.6666666666666666,0.42857142857142855,0.25316455696202533,0.04918032786885246
