date,trainAccuracy,trainCoverage,trainReward,validationAccuracy,validationCoverage,validationReward,testAccuracy,testCoverage,testReward
2004-01-02 05:00:00,0.4710507505360972,0.4791095890410959,-29487.5,0.4198473282442748,0.4486301369863014,-2150.0,0.5370370370370371,0.3698630136986301,10875.0
2004-01-02 05:00:00,0.5,0.38424657534246576,30612.5,0.4657534246575342,0.25,662.5,0.5319148936170213,0.16095890410958905,1900.0
2004-01-02 05:00:00,0.5606060606060606,0.31643835616438354,105712.5,0.45098039215686275,0.17465753424657535,-2125.0,0.5454545454545454,0.18835616438356165,8187.5
2004-01-02 05:00:00,0.6345381526104418,0.3410958904109589,157475.0,0.472,0.4280821917808219,-9825.0,0.4594594594594595,0.3801369863013699,3687.5
2004-01-02 05:00:00,0.596875,0.4383561643835616,172237.5,0.5123456790123457,0.5547945205479452,-11225.0,0.4642857142857143,0.5753424657534246,-7637.5
2004-01-02 05:00:00,0.5878661087866108,0.4910958904109589,184362.5,0.46153846153846156,0.5342465753424658,-14075.0,0.48148148148148145,0.4623287671232877,-8262.5
2004-01-02 05:00:00,0.6001552795031055,0.4410958904109589,168637.5,0.5310344827586206,0.4965753424657534,350.0,0.44881889763779526,0.4349315068493151,-4075.0
2004-01-02 05:00:00,0.6307086614173228,0.4349315068493151,235750.0,0.5584415584415584,0.5273972602739726,11562.5,0.47368421052631576,0.5205479452054794,-16550.0
2004-01-02 05:00:00,0.639266304347826,0.5041095890410959,206262.5,0.528169014084507,0.4863013698630137,12750.0,0.5031055900621118,0.5513698630136986,-2425.0
2004-01-02 05:00:00,0.7091932457786116,0.5476027397260274,411887.5,0.569620253164557,0.541095890410959,15562.5,0.5119047619047619,0.5753424657534246,-3837.5
2004-01-02 05:00:00,0.7770663562281723,0.5883561643835616,517025.0,0.5828877005347594,0.6404109589041096,15950.0,0.5396825396825397,0.6472602739726028,10975.0
2004-01-02 05:00:00,0.8148351648351648,0.6232876712328768,575000.0,0.6023391812865497,0.5856164383561644,18725.0,0.47738693467336685,0.6815068493150684,-87.5
2004-01-02 05:00:00,0.8289810547875064,0.6688356164383562,636262.5,0.5769230769230769,0.7123287671232876,18487.5,0.5138888888888888,0.7397260273972602,-1387.5
2004-01-02 05:00:00,0.8359264497878359,0.7263698630136987,697025.0,0.5668202764976958,0.7431506849315068,15737.5,0.5482456140350878,0.7808219178082192,18837.5
2004-01-02 05:00:00,0.860655737704918,0.7520547945205479,789962.5,0.5506607929515418,0.7773972602739726,16700.0,0.5361702127659574,0.8047945205479452,12712.5
2004-01-02 05:00:00,0.85832246849196,0.788013698630137,821737.5,0.5462184873949579,0.815068493150685,12762.5,0.516260162601626,0.8424657534246576,13087.5
2004-01-02 05:00:00,0.884790716949855,0.8263698630136986,899475.0,0.5684647302904564,0.8253424657534246,18975.0,0.5196850393700787,0.8698630136986302,12037.5
2004-01-02 05:00:00,0.8887083671811535,0.8431506849315068,932512.5,0.5755102040816327,0.839041095890411,18587.5,0.49224806201550386,0.8835616438356164,2900.0
2004-01-02 05:00:00,0.8986138613861386,0.8647260273972602,986250.0,0.5441176470588235,0.9315068493150684,7162.5,0.5183823529411765,0.9315068493150684,5775.0
2004-01-02 05:00:00,0.9045611345343043,0.8934931506849315,1024937.5,0.5457875457875457,0.934931506849315,17175.0,0.5105633802816901,0.9726027397260274,5175.0
2004-01-02 05:00:00,0.9136636636636637,0.9123287671232877,1066675.0,0.5579710144927537,0.9452054794520548,18837.5,0.49110320284697506,0.9623287671232876,-3637.5
2004-01-02 05:00:00,0.9207227138643068,0.9287671232876712,1077475.0,0.5490909090909091,0.9417808219178082,15512.5,0.5053763440860215,0.9554794520547946,4000.0
2004-01-02 05:00:00,0.9362329524511611,0.9291095890410959,1091187.5,0.555956678700361,0.9486301369863014,18750.0,0.49823321554770317,0.9691780821917808,-2887.5
2004-01-02 05:00:00,0.9192477876106194,0.9287671232876712,1077562.5,0.5125448028673835,0.9554794520547946,11537.5,0.5087108013937283,0.9828767123287672,5962.5
2004-01-02 05:00:00,0.9361467889908257,0.9332191780821918,1072787.5,0.5663082437275986,0.9554794520547946,18987.5,0.512280701754386,0.976027397260274,4212.5
2004-01-02 05:00:00,0.9386930983847284,0.9328767123287671,1115225.0,0.5428571428571428,0.958904109589041,22250.0,0.5052264808362369,0.9828767123287672,587.5
2004-01-02 05:00:00,0.9335270613875772,0.9428082191780822,1094200.0,0.5338078291814946,0.9623287671232876,18712.5,0.513986013986014,0.9794520547945206,8612.5
2004-01-02 05:00:00,0.9405543398978847,0.939041095890411,1098387.5,0.5448028673835126,0.9554794520547946,20637.5,0.5226480836236934,0.9828767123287672,6537.5
2004-01-02 05:00:00,0.944081336238199,0.9431506849315069,1098075.0,0.5480427046263345,0.9623287671232876,22900.0,0.4965277777777778,0.9863013698630136,-1875.0
2004-01-02 05:00:00,0.9406657018813314,0.9465753424657535,1112912.5,0.5107142857142857,0.958904109589041,11562.5,0.534965034965035,0.9794520547945206,16312.5
2004-01-02 05:00:00,0.9441624365482234,0.9445205479452055,1099625.0,0.5571428571428572,0.958904109589041,19625.0,0.5034965034965035,0.9794520547945206,187.5
2004-01-02 05:00:00,0.9486623282718727,0.9472602739726027,1117062.5,0.5319148936170213,0.9657534246575342,13175.0,0.5277777777777778,0.9863013698630136,3800.0
2004-01-02 05:00:00,0.9399496583962603,0.9523972602739726,1095775.0,0.5480427046263345,0.9623287671232876,19525.0,0.527972027972028,0.9794520547945206,4037.5
