walk,reward,coverage,accuracy,positivi,negativi,dollari
0,0.015150802175373138,0.17647058823529413,0.5185185185185185,14,13,1400.0
1,0.06565741084698515,0.5844155844155844,0.5,45,45,6212.5
2,0.019834242894477605,0.6103896103896104,0.48936170212765956,46,48,2000.0
3,-0.11187239456342886,0.7597402597402597,0.5042735042735043,59,58,-10500.0
4,-0.023858240084349044,0.618421052631579,0.48936170212765956,46,48,-2700.0
5,0.10421909558515921,0.7207792207792207,0.5585585585585585,62,49,10887.5
6,-0.015368190005911948,0.625,0.5263157894736842,50,45,-1662.5
