Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5020576131687243,0.253125,0.13909018450009514,0.1753472222222222,0.07777777777777778,0.5544554455445545,0.38392857142857145,0.1730395333765392,0.06589147286821706,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1.0,0.006944444444444444,0.00534830859740607,0.006944444444444444,0.0,1.0,0,0.013513513513513514,0.0
1,0.524390243902439,0.19930555555555557,-0.07386334190635097,0.1295138888888889,0.06979166666666667,0.5710455764075067,0.43781094527363185,0.13480233311730394,0.06356589147286822,0.5531914893617021,0.3263888888888889,0.02436815705842007,0.3263888888888889,0.0,0.5531914893617021,0,0.3424657534246575,0.0,0.5576923076923077,0.3611111111111111,0.06854085027430155,0.3611111111111111,0.0,0.5576923076923077,0,0.3918918918918919,0.0
2,0.5590909090909091,0.22916666666666666,0.1934487848864965,0.16041666666666668,0.06875,0.6125541125541125,0.43434343434343436,0.17692806221646143,0.06434108527131784,0.6086956521739131,0.1597222222222222,0.03038604572323273,0.1527777777777778,0.006944444444444444,0.6363636363636364,0.0,0.1780821917808219,0.0,0.6,0.20833333333333334,-0.02441681558887133,0.20833333333333334,0.0,0.6,0,0.24324324324324326,0.0
3,0.5322314049586777,0.21006944444444445,0.026719282930077543,0.1371527777777778,0.07291666666666667,0.5645569620253165,0.4714285714285714,0.13933895009721323,0.07441860465116279,0.6470588235294118,0.11805555555555555,0.02121938448890643,0.1111111111111111,0.006944444444444444,0.625,1.0,0.136986301369863,0.014492753623188406,0.5833333333333334,0.16666666666666666,0.05269936831237907,0.13194444444444445,0.034722222222222224,0.631578947368421,0.4,0.16216216216216217,0.028985507246376812
4,0.5269565217391304,0.1996527777777778,-0.09605844498457705,0.11736111111111111,0.08229166666666667,0.5650887573964497,0.47257383966244726,0.12119248217757615,0.08372093023255814,0.4782608695652174,0.3194444444444444,-0.006997884001779838,0.3194444444444444,0.0,0.4782608695652174,0,0.3013698630136986,0.0,0.5,0.16666666666666666,-0.031482881713751014,0.1597222222222222,0.006944444444444444,0.4782608695652174,1.0,0.14864864864864866,0.014492753623188406
5,0.5123674911660777,0.19652777777777777,-0.04555586290167726,0.12638888888888888,0.07013888888888889,0.5576923076923077,0.4306930693069307,0.12832145171743356,0.06356589147286822,0.5833333333333334,0.16666666666666666,0.03598453073402892,0.16666666666666666,0.0,0.5833333333333334,0,0.1917808219178082,0.0,0.4074074074074074,0.1875,-0.01380158856625717,0.1875,0.0,0.4074074074074074,0,0.14864864864864866,0.0
6,0.5367132867132867,0.1986111111111111,0.12398805500502766,0.12881944444444443,0.06979166666666667,0.5876010781671159,0.4427860696517413,0.13674659753726506,0.06589147286821706,0.6666666666666666,0.041666666666666664,0.020937242481953448,0.041666666666666664,0.0,0.6666666666666666,0,0.0547945205479452,0.0,0.6470588235294118,0.11805555555555555,0.02683039997225614,0.11805555555555555,0.0,0.6470588235294118,0,0.14864864864864866,0.0
7,0.5040650406504065,0.21354166666666666,0.002897146498668993,0.12569444444444444,0.08784722222222222,0.5497237569060773,0.43873517786561267,0.12572909915748542,0.08139534883720931,0.7,0.06944444444444445,0.02800498082607737,0.06944444444444445,0.0,0.7,0,0.0958904109589041,0.0,0.631578947368421,0.13194444444444445,0.052091718073728255,0.125,0.006944444444444444,0.6111111111111112,1.0,0.14864864864864866,0.014492753623188406
8,0.5055350553505535,0.18819444444444444,0.05609246785164217,0.1125,0.07569444444444444,0.5401234567901234,0.4541284403669725,0.10823071937783539,0.07286821705426356,0.4,0.10416666666666667,-0.0027156497193214766,0.0763888888888889,0.027777777777777776,0.5454545454545454,0.0,0.0684931506849315,0.0,0.6153846153846154,0.18055555555555555,-0.00031640621020015603,0.125,0.05555555555555555,0.6666666666666666,0.5,0.16216216216216217,0.057971014492753624
9,0.5174129353233831,0.209375,0.12593655729357042,0.12986111111111112,0.07951388888888888,0.5721925133689839,0.4279475982532751,0.13415424497731693,0.07209302325581396,0.75,0.027777777777777776,0.006580051814763097,0.006944444444444444,0.020833333333333332,1.0,0.6666666666666666,0.0136986301369863,0.028985507246376812,0.6,0.06944444444444445,0.03482916811432495,0.020833333333333332,0.04861111111111111,0.6666666666666666,0.5714285714285714,0.013513513513513514,0.057971014492753624
10,0.5269360269360269,0.20625,0.2528329424418786,0.125,0.08125,0.55,0.49145299145299143,0.12508101101749838,0.08604651162790698,0.6923076923076923,0.09027777777777778,0.009924243096263713,0.09027777777777778,0.0,0.6923076923076923,0,0.1095890410958904,0.0,0.5172413793103449,0.2013888888888889,-0.0038630224004194843,0.2013888888888889,0.0,0.5172413793103449,0,0.20270270270270271,0.0
