Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.523943661971831,0.1232638888888889,-0.09135145789139212,0.0875,0.03576388888888889,0.5476190476190477,0.46601941747572817,0.08554763447828904,0.037180480247869865,0.6,0.06944444444444445,-0.001859880521602993,0.06944444444444445,0.0,0.6,0,0.08,0.0,0.6,0.034722222222222224,0.011164645254688533,0.034722222222222224,0.0,0.6,0,0.041666666666666664,0.0
1,0.4856115107913669,0.09652777777777778,-0.3449023334429073,0.065625,0.03090277777777778,0.5343915343915344,0.38202247191011235,0.06351263771872975,0.024786986831913247,1.0,0.013888888888888888,0.017875753954159877,0.013888888888888888,0.0,1.0,0,0.02666666666666667,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
2,0.5148809523809523,0.11666666666666667,0.06969637601085789,0.07881944444444444,0.03784722222222222,0.5506607929515418,0.44036697247706424,0.0797148412184057,0.037180480247869865,0.7,0.06944444444444445,0.03347851673364132,0.06944444444444445,0.0,0.7,0,0.09333333333333334,0.0,0.8,0.034722222222222224,0.03735022683649674,0.034722222222222224,0.0,0.8,0,0.05555555555555555,0.0
3,0.5341614906832298,0.11180555555555556,-0.06494124663737541,0.07152777777777777,0.04027777777777778,0.5631067961165048,0.4827586206896552,0.0712896953985742,0.041053446940356314,0.3333333333333333,0.020833333333333332,-0.0016374576838734832,0.020833333333333332,0.0,0.3333333333333333,0,0.013333333333333334,0.0,0.3333333333333333,0.020833333333333332,-0.005609729494724266,0.013888888888888888,0.006944444444444444,0.5,0.0,0.013888888888888888,0.0
4,0.5171428571428571,0.12152777777777778,0.19886975302189655,0.07361111111111111,0.04791666666666667,0.5518867924528302,0.463768115942029,0.07388204795852236,0.049573973663826494,0.375,0.1111111111111111,-0.01360521805238033,0.0625,0.04861111111111111,0.3333333333333333,0.42857142857142855,0.04,0.04411764705882353,0,0.0,0,0.0,0.0,0,0,0.0,0.0
5,0.4517133956386293,0.11145833333333334,-0.3235727901281282,0.058680555555555555,0.05277777777777778,0.5325443786982249,0.3618421052631579,0.057679844458846406,0.042602633617350893,0.6875,0.1111111111111111,0.04085217786375384,0.1111111111111111,0.0,0.6875,0,0.14666666666666667,0.0,0.6666666666666666,0.08333333333333333,0.05345792165948647,0.08333333333333333,0.0,0.6666666666666666,0,0.1111111111111111,0.0
6,0.5357142857142857,0.12638888888888888,0.13759562087773358,0.08194444444444444,0.044444444444444446,0.559322033898305,0.4921875,0.08101101749837979,0.047250193648334625,0.6666666666666666,0.125,0.004451619903675654,0.0763888888888889,0.04861111111111111,0.7272727272727273,0.5714285714285714,0.10666666666666667,0.058823529411764705,0.3333333333333333,0.0625,-0.018145958227605126,0.020833333333333332,0.041666666666666664,0.3333333333333333,0.3333333333333333,0.013888888888888888,0.02857142857142857
7,0.5375586854460094,0.14791666666666667,0.05112912715128367,0.08472222222222223,0.06319444444444444,0.5573770491803278,0.510989010989011,0.08230719377835385,0.06893880712625872,0.5,0.09722222222222222,-0.014145087077870305,0.06944444444444445,0.027777777777777776,0.6,0.25,0.08,0.014705882352941176,0.4375,0.1111111111111111,0.02640322427575336,0.10416666666666667,0.006944444444444444,0.4,1.0,0.08333333333333333,0.014285714285714285
8,0.5424528301886793,0.14722222222222223,-0.012705196994425705,0.08645833333333333,0.06076388888888889,0.6104417670682731,0.44571428571428573,0.09332469215813351,0.060418280402788536,0.7777777777777778,0.0625,0.027361895840355442,0.0625,0.0,0.7777777777777778,0,0.09333333333333334,0.0,0.5,0.041666666666666664,0.015730547917429238,0.041666666666666664,0.0,0.5,0,0.041666666666666664,0.0
9,0.5194274028629857,0.16979166666666667,0.11027654290229946,0.11284722222222222,0.05694444444444444,0.5692307692307692,0.42073170731707316,0.11665586519766688,0.053446940356312936,0.5,0.06944444444444445,-0.028170671695466484,0.06944444444444445,0.0,0.5,0,0.06666666666666667,0.0,0.6666666666666666,0.041666666666666664,0.0188669724024706,0.034722222222222224,0.006944444444444444,0.6,1.0,0.041666666666666664,0.014285714285714285
10,0.5608108108108109,0.15416666666666667,0.18830391552251438,0.09097222222222222,0.06319444444444444,0.5687022900763359,0.5494505494505495,0.09397278029812055,0.07358636715724244,0.56,0.1736111111111111,0.03962841011072901,0.08333333333333333,0.09027777777777778,0.5,0.6153846153846154,0.08,0.11764705882352941,0.5789473684210527,0.13194444444444445,0.009764949516312772,0.041666666666666664,0.09027777777777778,0.5,0.6153846153846154,0.041666666666666664,0.11428571428571428
11,0.5548523206751055,0.16458333333333333,0.21634376092907945,0.09097222222222222,0.07361111111111111,0.5954198473282443,0.5047169811320755,0.09721322099805574,0.08133230054221534,0.375,0.05555555555555555,-0.023341625970692486,0.034722222222222224,0.020833333333333332,0.4,0.3333333333333333,0.02666666666666667,0.014705882352941176,1.0,0.013888888888888888,0.0008475747095914384,0.0,0.013888888888888888,0,1.0,0.0,0.02857142857142857
12,0.5340659340659341,0.1579861111111111,0.1735280470026078,0.08645833333333333,0.07152777777777777,0.5582329317269076,0.5048543689320388,0.08749189889825017,0.08055770720371805,0.5882352941176471,0.11805555555555555,-0.004576138363459811,0.1111111111111111,0.006944444444444444,0.625,0.0,0.13333333333333333,0.0,0.6875,0.1111111111111111,0.02339632530066118,0.0625,0.04861111111111111,0.5555555555555556,0.8571428571428571,0.06944444444444445,0.08571428571428572
13,0.5776031434184676,0.17673611111111112,0.5334495578041561,0.09756944444444444,0.07916666666666666,0.604982206405694,0.543859649122807,0.10823071937783539,0.09604957397366383,0.4666666666666667,0.10416666666666667,-0.011338718558883255,0.06944444444444445,0.034722222222222224,0.3,0.8,0.04,0.058823529411764705,0.44,0.1736111111111111,-0.03510019962834126,0.1388888888888889,0.034722222222222224,0.45,0.4,0.125,0.02857142857142857
14,0.5922509225092251,0.18819444444444444,0.709671225928906,0.11076388888888888,0.07743055555555556,0.6332288401253918,0.5336322869955157,0.1289695398574206,0.0906274206041828,0.6666666666666666,0.041666666666666664,0.012981278466453073,0.034722222222222224,0.006944444444444444,0.6,1.0,0.04,0.014705882352941176,0.14285714285714285,0.09722222222222222,-0.03920452335081284,0.041666666666666664,0.05555555555555555,0.16666666666666666,0.125,0.013888888888888888,0.014285714285714285
15,0.5959252971137521,0.20451388888888888,0.11548788387372758,0.11145833333333334,0.09305555555555556,0.6386292834890965,0.5447761194029851,0.12832145171743356,0.10921766072811774,0.43243243243243246,0.2569444444444444,-0.022895897985741313,0.2222222222222222,0.034722222222222224,0.4375,0.4,0.18666666666666668,0.029411764705882353,0.5,0.25,0.001083417932433515,0.2222222222222222,0.027777777777777776,0.5,0.5,0.20833333333333334,0.02857142857142857
16,0.5854092526690391,0.1951388888888889,0.536594621258088,0.115625,0.07951388888888888,0.6186186186186187,0.537117903930131,0.1270252754374595,0.09217660728117738,0.6666666666666666,0.08333333333333333,0.03022057976755969,0.027777777777777776,0.05555555555555555,0.5,0.75,0.02666666666666667,0.08823529411764706,0.35294117647058826,0.11805555555555555,-0.04915323239636132,0.034722222222222224,0.08333333333333333,0.2,0.4166666666666667,0.013888888888888888,0.07142857142857142
17,0.597623089983022,0.20451388888888888,0.8672031593513414,0.11666666666666667,0.08784722222222222,0.6577380952380952,0.5177865612648221,0.1406351263771873,0.09682416731216112,0.5806451612903226,0.2152777777777778,0.034823614960747956,0.1875,0.027777777777777776,0.5925925925925926,0.5,0.21333333333333335,0.029411764705882353,0.5666666666666667,0.20833333333333334,0.010129839399474021,0.19444444444444445,0.013888888888888888,0.5714285714285714,0.5,0.20833333333333334,0.014285714285714285
18,0.6288659793814433,0.20208333333333334,0.8034523842791768,0.11944444444444445,0.08263888888888889,0.6395348837209303,0.6134453781512605,0.13545042125729098,0.10844306738962045,0.45,0.1388888888888889,-0.013211355143888716,0.09027777777777778,0.04861111111111111,0.5384615384615384,0.2857142857142857,0.08,0.029411764705882353,0.5714285714285714,0.04861111111111111,0.013703555861971207,0.041666666666666664,0.006944444444444444,0.6666666666666666,0.0,0.041666666666666664,0.0
19,0.6,0.18229166666666666,0.9727948012754385,0.10451388888888889,0.07777777777777778,0.6345514950166113,0.5535714285714286,0.11924821775761503,0.09372579395817196,0.3888888888888889,0.125,-0.014657242887209428,0.08333333333333333,0.041666666666666664,0.4166666666666667,0.3333333333333333,0.06666666666666667,0.029411764705882353,0.2727272727272727,0.0763888888888889,-0.053322315589882825,0.027777777777777776,0.04861111111111111,0.25,0.2857142857142857,0.013888888888888888,0.014285714285714285
20,0.6556701030927835,0.1684027777777778,1.3342063784747988,0.09722222222222222,0.07118055555555555,0.6964285714285714,0.6,0.12443292287751134,0.09217660728117738,0.4375,0.2222222222222222,-0.0018889289873340962,0.18055555555555555,0.041666666666666664,0.46153846153846156,0.3333333333333333,0.16,0.029411764705882353,0.7142857142857143,0.04861111111111111,0.004505250899174522,0.020833333333333332,0.027777777777777776,0.6666666666666666,0.75,0.027777777777777776,0.04285714285714286
21,0.6525573192239859,0.196875,1.4548205369661775,0.11736111111111111,0.07951388888888888,0.6804733727810651,0.611353711790393,0.1458198314970836,0.10379550735863671,0.5,0.09722222222222222,-0.00038079813821032416,0.09027777777777778,0.006944444444444444,0.5384615384615384,0.0,0.09333333333333334,0.0,0.5,0.06944444444444445,-0.0014861976632139788,0.041666666666666664,0.027777777777777776,0.5,0.5,0.041666666666666664,0.02857142857142857
22,0.6563011456628478,0.21215277777777777,1.612630420773965,0.10902777777777778,0.103125,0.697452229299363,0.6127946127946128,0.13933895009721323,0.13710302091402013,0.3333333333333333,0.08333333333333333,-0.02212916039963017,0.06944444444444445,0.013888888888888888,0.4,0.0,0.05333333333333334,0.0,0.6153846153846154,0.09027777777777778,0.01993559126426051,0.041666666666666664,0.04861111111111111,0.6666666666666666,0.5714285714285714,0.05555555555555555,0.05714285714285714
23,0.6808510638297872,0.19583333333333333,1.7200196555312477,0.10555555555555556,0.09027777777777778,0.7368421052631579,0.6153846153846154,0.14322747893713544,0.1192873741285825,0.75,0.027777777777777776,0.005352935931645837,0.013888888888888888,0.013888888888888888,1.0,0.5,0.02666666666666667,0.014705882352941176,0.4166666666666667,0.08333333333333333,-0.030067037575517003,0.034722222222222224,0.04861111111111111,0.2,0.5714285714285714,0.013888888888888888,0.05714285714285714
