date,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.501840490797546,0.5659722222222222,-0.26088784373988666,0.32916666666666666,0.23680555555555555,0.5210970464135021,0.4750733137829912,0.5159609120521172,0.0,0.45185185185185184,0.9375,-0.08654618594767965,0.0,0.9375,0,0.45185185185185184,0.7125,0.0,0.46099290780141844,0.9791666666666666,-0.03191176769892809,0.0,0.9791666666666666,0,0.46099290780141844,0.7721518987341772,0.0
1,0.4910662824207493,0.6024305555555556,-0.5620988884219007,0.24722222222222223,0.35520833333333335,0.5393258426966292,0.4574780058651026,0.5413680781758957,0.0,0.4519230769230769,0.7222222222222222,-0.06310358663238672,0.0,0.7222222222222222,0,0.4519230769230769,0.55,0.0,0.4824561403508772,0.7916666666666666,0.035020133608909126,0.0,0.7916666666666666,0,0.4824561403508772,0.6708860759493671,0.0
2,0.4975062344139651,0.5569444444444445,0.17199167364064405,0.2048611111111111,0.35208333333333336,0.5254237288135594,0.4812623274161736,0.5035830618892508,0.0,0.4642857142857143,0.7777777777777778,-0.07430427120885563,0.0,0.7777777777777778,0,0.4642857142857143,0.6,0.0,0.464,0.8680555555555556,-0.0087072454685513,0.0,0.8680555555555556,0,0.464,0.6962025316455697,0.0
3,0.5105653912050258,0.6079861111111111,1.1600905559788455,0.24270833333333333,0.36527777777777776,0.5364806866952789,0.49334600760456276,0.5609120521172638,0.0,0.4444444444444444,0.125,-0.018152575678940967,0.0,0.125,0,0.4444444444444444,0.1,0.0,0.38461538461538464,0.09027777777777778,-0.02157222944676584,0.0,0.09027777777777778,0,0.38461538461538464,0.05063291139240506,0.0
4,0.5777777777777777,0.59375,2.5908654693185444,0.3194444444444444,0.2743055555555556,0.6097826086956522,0.540506329113924,0.6260586319218241,0.0,0.4714285714285714,0.9722222222222222,-0.050906510510089625,0.3958333333333333,0.5763888888888888,0.543859649122807,0.42168674698795183,0.775,0.0,0.5140845070422535,0.9861111111111112,-0.042386881605806365,0.375,0.6111111111111112,0.5740740740740741,0.4772727272727273,0.8734177215189873,0.0
5,0.6083598364379827,0.7642361111111111,5.738995424671476,0.4048611111111111,0.359375,0.6406518010291595,0.5719806763285025,0.8482084690553746,0.0,0.5873015873015873,0.875,0.03473178289089554,0.8472222222222222,0.027777777777777776,0.5819672131147541,0.75,0.8625,0.0,0.5813953488372093,0.8958333333333334,0.05762908296532606,0.8819444444444444,0.013888888888888888,0.5826771653543307,0.5,0.9113924050632911,0.0
6,0.6377988272440235,0.7697916666666667,7.1369522488035235,0.46284722222222224,0.30694444444444446,0.6481620405101275,0.6221719457013575,0.8977198697068404,0.0,0.5384615384615384,0.9027777777777778,0.04833774374734287,0.2361111111111111,0.6666666666666666,0.6470588235294118,0.5,0.825,0.0,0.5144927536231884,0.9583333333333334,-0.0039123067508229255,0.2013888888888889,0.7569444444444444,0.6206896551724138,0.48623853211009177,0.8481012658227848,0.0
7,0.6581945661700263,0.7923611111111111,9.391403608814619,0.39826388888888886,0.3940972222222222,0.7061900610287707,0.6096916299559472,0.9530944625407166,0.0,0.5514705882352942,0.9444444444444444,0.02416022389302604,0.6944444444444444,0.25,0.61,0.3888888888888889,0.875,0.0,0.5611510791366906,0.9652777777777778,0.1335213817848459,0.7777777777777778,0.1875,0.5714285714285714,0.5185185185185185,0.9367088607594937,0.0
8,0.6787564766839378,0.8041666666666667,10.138882903440193,0.45868055555555554,0.3454861111111111,0.6979560938682816,0.6532663316582915,0.9993485342019544,0.0,0.569620253164557,0.5486111111111112,0.061271456134192874,0.4166666666666667,0.13194444444444445,0.6333333333333333,0.3684210526315789,0.55,0.0,0.6615384615384615,0.4513888888888889,0.0912569763447885,0.3333333333333333,0.11805555555555555,0.6875,0.5882352941176471,0.5189873417721519,0.0
9,0.7121412803532009,0.7864583333333334,11.680193500443357,0.4444444444444444,0.3420138888888889,0.72578125,0.6944162436548224,1.0280130293159608,0.0,0.6071428571428571,0.9722222222222222,0.08702513544233621,0.7986111111111112,0.1736111111111111,0.6260869565217392,0.52,1.0,0.0,0.5899280575539568,0.9652777777777778,0.09884373663931278,0.8819444444444444,0.08333333333333333,0.5826771653543307,0.6666666666666666,0.9873417721518988,0.0
10,0.7159739201303994,0.8520833333333333,12.211483913618236,0.5072916666666667,0.34479166666666666,0.7166324435318275,0.7150050352467271,1.1205211726384365,0.0,0.5703703703703704,0.9375,0.04790125622446158,0.6944444444444444,0.24305555555555555,0.6,0.4857142857142857,0.9,0.0,0.6028368794326241,0.9791666666666666,0.0806392844633638,0.8125,0.16666666666666666,0.5982905982905983,0.625,1.0253164556962024,0.0
11,0.7159408709548541,0.8690972222222222,12.807679657065442,0.49027777777777776,0.37881944444444443,0.7301699716713881,0.6975252062328139,1.145928338762215,0.0,0.5454545454545454,0.6875,0.06981879899059297,0.5347222222222222,0.1527777777777778,0.5974025974025974,0.36363636363636365,0.65,0.0,0.6372549019607843,0.7083333333333334,0.11691920955236607,0.5902777777777778,0.11805555555555555,0.6352941176470588,0.6470588235294118,0.7848101265822784,0.0
12,0.7369930356411307,0.8475694444444445,13.47969674920491,0.5006944444444444,0.346875,0.7475728155339806,0.7217217217217218,1.1478827361563517,0.0,0.5714285714285714,0.5347222222222222,0.020897581030383687,0.2638888888888889,0.2708333333333333,0.6578947368421053,0.48717948717948717,0.525,0.0,0.5344827586206896,0.4027777777777778,-0.028801478636553825,0.14583333333333334,0.2569444444444444,0.6190476190476191,0.4864864864864865,0.379746835443038,0.0
13,0.7479270315091211,0.8375,13.68335379633668,0.47118055555555555,0.3663194444444444,0.763448784082535,0.7279620853080568,1.1543973941368078,0.0,0.5939849624060151,0.9236111111111112,0.06594700340943312,0.6319444444444444,0.2916666666666667,0.6263736263736264,0.5238095238095238,0.9375,0.0,0.6170212765957447,0.9791666666666666,0.09790934069469191,0.8194444444444444,0.1597222222222222,0.6101694915254238,0.6521739130434783,1.0506329113924051,0.0
14,0.732906837265094,0.8684027777777777,13.666062364866482,0.503125,0.36527777777777776,0.7336093857832988,0.7319391634980988,1.1706840390879478,0.0,0.5547445255474452,0.9513888888888888,0.06947441252713972,0.4166666666666667,0.5347222222222222,0.65,0.4805194805194805,0.8875,0.0,0.5220588235294118,0.9444444444444444,-0.04760308816167619,0.3333333333333333,0.6111111111111112,0.5833333333333334,0.48863636363636365,0.8481012658227848,0.0
15,0.7481632653061224,0.8506944444444444,13.858974932548483,0.45625,0.39444444444444443,0.773972602739726,0.7183098591549296,1.1706840390879478,0.0,0.5714285714285714,0.8263888888888888,0.038060444751838694,0.3888888888888889,0.4375,0.6607142857142857,0.49206349206349204,0.8,0.0,0.5304347826086957,0.7986111111111112,-0.048664546742774546,0.2916666666666667,0.5069444444444444,0.5952380952380952,0.4931506849315068,0.7341772151898734,0.0
16,0.7663174858984689,0.8618055555555556,14.600558241925455,0.46319444444444446,0.39861111111111114,0.7916041979010495,0.7369337979094077,1.2143322475570033,0.0,0.5492957746478874,0.9861111111111112,0.04803195752057293,0.7638888888888888,0.2222222222222222,0.5909090909090909,0.40625,0.9125,0.0,0.5972222222222222,1.0,0.03330659617197823,0.8472222222222222,0.1527777777777778,0.5983606557377049,0.5909090909090909,1.0379746835443038,0.0
17,0.7637764932562621,0.9010416666666666,14.559354881497466,0.5253472222222222,0.37569444444444444,0.7614011896893589,0.767097966728281,1.2651465798045602,0.0,0.6195652173913043,0.6388888888888888,0.07794222078307146,0.3958333333333333,0.24305555555555555,0.7192982456140351,0.45714285714285713,0.675,0.0,0.6,0.4513888888888889,-0.009041747274112586,0.2986111111111111,0.1527777777777778,0.627906976744186,0.5454545454545454,0.4810126582278481,0.0
