walk,reward,coverage,accuracy,positivi,negativi,dollari
0,0.023286756587009787,0.1858974358974359,0.5862068965517241,17,12,2250.0
1,0.18986146016266048,0.7243589743589743,0.584070796460177,66,47,19225.0
2,-0.08983588590367356,0.5705128205128205,0.449438202247191,40,49,-8850.0
3,-0.08866675375820439,0.6993464052287581,0.411214953271028,44,63,-8712.5
4,-0.03147499034033785,0.5548387096774193,0.45348837209302323,39,47,-3387.5
5,0.03659813394408861,0.738562091503268,0.504424778761062,57,56,4150.0
6,0.02314895838299385,0.6428571428571429,0.5858585858585859,58,41,2875.0
