Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5400981996726678,0.21215277777777777,0.2071630778374771,0.12881944444444443,0.08333333333333333,0.5768194070080862,0.48333333333333334,0.1330749354005168,0.08618012422360248,1.0,0.006944444444444444,0.007905138339920948,0.006944444444444444,0.0,1.0,0,0.0125,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
1,0.5587529976019184,0.14479166666666668,0.3226166653165468,0.08298611111111111,0.06180555555555556,0.602510460251046,0.5,0.09043927648578812,0.06599378881987578,0.5,0.1527777777777778,-0.012904900848443198,0.1527777777777778,0.0,0.5,0,0.1375,0.0,0.7037037037037037,0.1875,0.04583068516386694,0.1875,0.0,0.7037037037037037,0,0.25,0.0
2,0.5733082706766918,0.18472222222222223,0.8431949606421708,0.11388888888888889,0.07083333333333333,0.6067073170731707,0.5196078431372549,0.12596899224806202,0.07996894409937888,0.4864864864864865,0.2569444444444444,-0.0010360419430638368,0.125,0.13194444444444445,0.5,0.47368421052631576,0.1125,0.13333333333333333,0.3,0.20833333333333334,-0.04975065285776752,0.08333333333333333,0.125,0.25,0.3333333333333333,0.039473684210526314,0.08955223880597014
3,0.5452755905511811,0.1763888888888889,0.7540481543256853,0.10208333333333333,0.07430555555555556,0.6054421768707483,0.46261682242990654,0.1124031007751938,0.07298136645962733,0.0,0.013888888888888888,-0.025710592175460338,0.006944444444444444,0.006944444444444444,0.0,0.0,0.0,0.0,0.5,0.041666666666666664,-0.004018845563951986,0.006944444444444444,0.034722222222222224,0.0,0.6,0.0,0.04477611940298507
4,0.5753176043557169,0.19131944444444443,0.35483107101130507,0.10868055555555556,0.08263888888888889,0.6134185303514377,0.5252100840336135,0.12209302325581395,0.09549689440993789,0.6376811594202898,0.4791666666666667,0.10848332838084301,0.4791666666666667,0.0,0.6376811594202898,0,0.525,0.0,0.40625,0.4444444444444444,-0.0885505424485808,0.4305555555555556,0.013888888888888888,0.41935483870967744,0.0,0.32894736842105265,0.0
5,0.533678756476684,0.20104166666666667,0.21406706750357735,0.12743055555555555,0.07361111111111111,0.5776566757493188,0.45754716981132076,0.13242894056847546,0.07375776397515528,0.375,0.05555555555555555,0.005791705466809055,0.0,0.05555555555555555,0,0.375,0.0,0.05,0.5,0.19444444444444445,0.042103662874747275,0.0625,0.13194444444444445,0.4444444444444444,0.5263157894736842,0.05263157894736842,0.14925373134328357
6,0.5203426124197003,0.16215277777777778,-1.159834094920098e-05,0.07881944444444444,0.08333333333333333,0.5638766519823789,0.4791666666666667,0.07945736434108527,0.08618012422360248,1.0,0.006944444444444444,0.013154467309195103,0.0,0.006944444444444444,0,1.0,0.0,0.016666666666666666,0.5,0.05555555555555555,0.011250955620363209,0.0,0.05555555555555555,0,0.5,0.0,0.05970149253731343
7,0.572961373390558,0.16180555555555556,0.3650257007161277,0.08472222222222223,0.07708333333333334,0.6065573770491803,0.536036036036036,0.09237726098191215,0.08850931677018634,0.5,0.013888888888888888,-0.0016401293801088196,0.006944444444444444,0.006944444444444444,1.0,0.0,0.0125,0.0,0.38461538461538464,0.09027777777777778,-0.009905354071251211,0.0763888888888889,0.013888888888888888,0.36363636363636365,0.5,0.05263157894736842,0.014925373134328358
8,0.5577264653641207,0.1954861111111111,0.5039625298537137,0.1232638888888889,0.07222222222222222,0.5915492957746479,0.5,0.13178294573643412,0.07763975155279502,0.55,0.2777777777777778,0.036982793975195286,0.10416666666666667,0.1736111111111111,0.6,0.52,0.1125,0.18333333333333332,0.5217391304347826,0.3194444444444444,0.027226814973721123,0.1875,0.13194444444444445,0.5555555555555556,0.47368421052631576,0.19736842105263158,0.13432835820895522
9,0.4981060606060606,0.18333333333333332,0.0008734755605684808,0.08993055555555556,0.09340277777777778,0.5135135135135135,0.483271375464684,0.08397932816537468,0.09937888198757763,0.5555555555555556,0.125,-0.0073456158242447035,0.1111111111111111,0.013888888888888888,0.625,0.0,0.125,0.0,0.5263157894736842,0.13194444444444445,-0.007317070727573184,0.0763888888888889,0.05555555555555555,0.36363636363636365,0.75,0.05263157894736842,0.08955223880597014
