Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5232950708980418,0.5142361111111111,0.33845268425885094,0.2767361111111111,0.2375,0.5671267252195734,0.4722222222222222,0.28599348534201957,0.23846153846153847,0.42452830188679247,0.7361111111111112,-0.08026296280357927,0.0,0.7361111111111112,0,0.42452830188679247,0.0,0.711864406779661,0.41964285714285715,0.7777777777777778,0.0011148543995680082,0.006944444444444444,0.7708333333333334,0.0,0.42342342342342343,0.0,0.7704918032786885
1,0.5178446466060181,0.49618055555555557,0.004130813893900013,0.2465277777777778,0.24965277777777778,0.571830985915493,0.46453407510431155,0.25928338762214986,0.2469230769230769,0.5,0.19444444444444445,-0.054976141804501326,0.0,0.19444444444444445,0,0.5,0.0,0.2033898305084746,0.42857142857142855,0.14583333333333334,-0.03279214466364579,0.0,0.14583333333333334,0,0.42857142857142855,0.0,0.14754098360655737
2,0.5232919254658385,0.44722222222222224,0.13279906200686903,0.25555555555555554,0.19166666666666668,0.5584239130434783,0.47644927536231885,0.25667752442996744,0.1976923076923077,0.5373134328358209,0.4652777777777778,0.016618837798457367,0.4652777777777778,0.0,0.5373134328358209,0,0.425,0.0,0.6610169491525424,0.4097222222222222,0.035577259118480406,0.4097222222222222,0.0,0.6610169491525424,0,0.4810126582278481,0.0
3,0.5468622656886716,0.42604166666666665,0.8717122791982863,0.2815972222222222,0.14444444444444443,0.5832305795314426,0.47596153846153844,0.2990228013029316,0.14846153846153845,0.45121951219512196,0.5694444444444444,0.0008334727214576903,0.0,0.5694444444444444,0,0.45121951219512196,0.0,0.5932203389830508,0.4430379746835443,0.5486111111111112,-0.052072642181572135,0.0,0.5486111111111112,0,0.4430379746835443,0.0,0.5409836065573771
4,0.527165932452276,0.47291666666666665,0.8822688199881659,0.30451388888888886,0.1684027777777778,0.5701254275940707,0.44948453608247424,0.31465798045602605,0.16384615384615384,0.6333333333333333,0.20833333333333334,-0.029259207525696405,0.20833333333333334,0.0,0.6333333333333333,0,0.2125,0.0,0.6842105263157895,0.13194444444444445,0.03824526612073215,0.13194444444444445,0.0,0.6842105263157895,0,0.16455696202531644,0.0
5,0.550513698630137,0.40555555555555556,0.5053237170488617,0.28229166666666666,0.1232638888888889,0.5928659286592866,0.4535211267605634,0.3042345276872964,0.12153846153846154,0.5974025974025974,0.5347222222222222,0.03535487976234476,0.5347222222222222,0.0,0.5974025974025974,0,0.55,0.0,0.6455696202531646,0.5486111111111112,0.07966115921887626,0.5486111111111112,0.0,0.6455696202531646,0,0.6075949367088608,0.0
6,0.5490045941807045,0.4534722222222222,0.2600842987545747,0.35,0.10347222222222222,0.5783730158730159,0.44966442953020136,0.3674267100977199,0.10076923076923076,0.3333333333333333,0.0625,-0.016194694606118974,0.0,0.0625,0,0.3333333333333333,0.0,0.05084745762711865,0.3333333333333333,0.020833333333333332,-0.021415340433627795,0.0,0.020833333333333332,0,0.3333333333333333,0.0,0.01639344262295082
7,0.5678601165695254,0.4170138888888889,0.788073640617314,0.3263888888888889,0.090625,0.6,0.4521072796934866,0.35700325732899024,0.08692307692307692,0.54,0.3472222222222222,0.022152232932522317,0.3472222222222222,0.0,0.54,0,0.3,0.0,0.6530612244897959,0.3402777777777778,0.05045544115469554,0.3402777777777778,0.0,0.6530612244897959,0,0.379746835443038,0.0
8,0.5925039872408293,0.4354166666666667,0.8391360765106334,0.34791666666666665,0.0875,0.627744510978044,0.4523809523809524,0.39543973941368077,0.08384615384615385,0.6153846153846154,0.5416666666666666,0.08577341882713006,0.5416666666666666,0.0,0.6153846153846154,0,0.5625,0.0,0.6727272727272727,0.3819444444444444,0.03542059517160995,0.3819444444444444,0.0,0.6727272727272727,0,0.4430379746835443,0.0
9,0.5870384325546345,0.46076388888888886,1.585895878687539,0.36354166666666665,0.09722222222222222,0.6303724928366762,0.425,0.4175895765472313,0.0876923076923077,0.5208333333333334,0.6666666666666666,0.038434823800030465,0.0625,0.6041666666666666,0.7777777777777778,0.4942528735632184,0.0625,0.6949152542372882,0.44954128440366975,0.7569444444444444,-0.015984039111748262,0.020833333333333332,0.7361111111111112,0.3333333333333333,0.4528301886792453,0.012658227848101266,0.7377049180327869
