Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5770676691729323,0.36944444444444446,-0.19260121666920407,0.36944444444444446,0.0,0.5770676691729323,0,0.38735177865612647,0.0,0.7777777777777778,0.0625,0.06940448973080107,0.0625,0.0,0.7777777777777778,0,0.08536585365853659,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
1,0.638996138996139,0.3597222222222222,0.8842648030546592,0.3597222222222222,0.0,0.638996138996139,0,0.4189723320158103,0.0,0.6935483870967742,0.4305555555555556,0.1318000138546011,0.4305555555555556,0.0,0.6935483870967742,0,0.5121951219512195,0.0,0.6455696202531646,0.5486111111111112,0.08603501466972305,0.5486111111111112,0.0,0.6455696202531646,0,0.6071428571428571,0.0
2,0.6713615023474179,0.44375,1.0762134001495083,0.44375,0.0,0.6713615023474179,0,0.549407114624506,0.0,0.6666666666666666,0.4166666666666667,0.14052954472944362,0.4166666666666667,0.0,0.6666666666666666,0,0.4878048780487805,0.0,0.603448275862069,0.4027777777777778,-0.000499016339537943,0.4027777777777778,0.0,0.603448275862069,0,0.4166666666666667,0.0
3,0.7035175879396985,0.41458333333333336,1.6253115442150803,0.41458333333333336,0.0,0.7035175879396985,0,0.5349143610013175,0.0,0.6595744680851063,0.3263888888888889,0.11828575941647289,0.3263888888888889,0.0,0.6595744680851063,0,0.3780487804878049,0.0,0.5833333333333334,0.3333333333333333,-0.02997449462636653,0.3333333333333333,0.0,0.5833333333333334,0,0.3333333333333333,0.0
4,0.6975308641975309,0.45,1.8782300037733637,0.45,0.0,0.6975308641975309,0,0.5783926218708827,0.0,0.5970149253731343,0.4652777777777778,0.1341773378403318,0.4652777777777778,0.0,0.5970149253731343,0,0.4878048780487805,0.0,0.6307692307692307,0.4513888888888889,0.0010450884496794287,0.4513888888888889,0.0,0.6307692307692307,0,0.4880952380952381,0.0
5,0.7136431784107946,0.46319444444444446,2.3075601592080095,0.46319444444444446,0.0,0.7136431784107946,0,0.6034255599472991,0.0,0.6551724137931034,0.4027777777777778,0.16943571907467925,0.4027777777777778,0.0,0.6551724137931034,0,0.4634146341463415,0.0,0.6376811594202898,0.4791666666666667,0.02973051569021096,0.4791666666666667,0.0,0.6376811594202898,0,0.5238095238095238,0.0
6,0.6928374655647382,0.5041666666666667,2.3354552278340086,0.5041666666666667,0.0,0.6928374655647382,0,0.6416337285902504,0.0,0.5641025641025641,0.5416666666666666,0.007806805642509407,0.5416666666666666,0.0,0.5641025641025641,0,0.524390243902439,0.0,0.5955056179775281,0.6180555555555556,0.019724583421676375,0.6180555555555556,0.0,0.5955056179775281,0,0.6309523809523809,0.0
7,0.7125827814569536,0.5243055555555556,2.4215398585826304,0.5243055555555556,0.0,0.7125827814569536,0,0.6837944664031621,0.0,0.6111111111111112,0.5,0.061437349959383866,0.5,0.0,0.6111111111111112,0,0.524390243902439,0.0,0.5942028985507246,0.4791666666666667,0.04287936215387769,0.4791666666666667,0.0,0.5942028985507246,0,0.4880952380952381,0.0
8,0.7343065693430657,0.4756944444444444,2.645603129583902,0.4756944444444444,0.0,0.7343065693430657,0,0.6403162055335968,0.0,0.6129032258064516,0.4305555555555556,0.06797575224005357,0.4305555555555556,0.0,0.6129032258064516,0,0.4634146341463415,0.0,0.6031746031746031,0.4375,0.018014055854433487,0.4375,0.0,0.6031746031746031,0,0.4523809523809524,0.0
9,0.7339055793991416,0.48541666666666666,2.667933973793405,0.48541666666666666,0.0,0.7339055793991416,0,0.6521739130434783,0.0,0.6176470588235294,0.4722222222222222,0.056899762122723255,0.4722222222222222,0.0,0.6176470588235294,0,0.5121951219512195,0.0,0.6029411764705882,0.4722222222222222,0.012344921214121844,0.4722222222222222,0.0,0.6029411764705882,0,0.4880952380952381,0.0
