Reward,Capital,AvgRw,percMiss,percHit,percHold
423.0,-459.0,-1.5665529010238908,59,40,37
685.5,226.5,0.7704081632653061,58,40,37
433.5,660.0,2.23728813559322,58,41,37
-114.5,545.5,1.8429054054054055,58,40,37
698.0,1243.5,4.186868686868687,58,41,37
-664.5,579.0,1.9429530201342282,58,40,37
285.5,864.5,2.891304347826087,58,41,37
-502.0,362.5,1.2083333333333333,58,41,37
58.5,421.0,1.398671096345515,58,41,37
85.5,506.5,1.6771523178807948,58,41,37
223.0,729.5,2.407590759075908,58,41,36
-514.5,215.0,0.7072368421052632,58,41,37
123.0,338.0,1.1081967213114754,58,41,37
-27.0,311.0,1.0163398692810457,58,41,36
-104.0,207.0,0.6742671009771987,58,41,36
198.0,405.0,1.3149350649350648,58,41,36
-577.0,-172.0,-0.5566343042071198,58,41,36
298.0,126.0,0.4064516129032258,58,41,36
-639.5,-513.5,-1.6511254019292605,58,41,36
-241.5,-755.0,-2.4198717948717947,58,41,36
460.5,-294.5,-0.9408945686900958,58,41,36
460.5,166.0,0.5286624203821656,57,41,36
-514.5,-348.5,-1.1063492063492064,58,41,36
373.0,24.5,0.07753164556962025,57,41,36
58.5,83.0,0.2618296529968454,57,41,36
-514.5,-431.5,-1.3569182389937107,57,41,36
10.5,-421.0,-1.3197492163009403,57,42,36
198.0,-223.0,-0.696875,57,42,36
-627.0,-850.0,-2.64797507788162,57,42,36
285.5,-564.5,-1.7531055900621118,57,42,36
-16.5,-581.0,-1.7987616099071206,57,42,36
-77.0,-658.0,-2.0308641975308643,57,41,36
135.5,-522.5,-1.6076923076923078,57,42,36
-127.0,-649.5,-1.9923312883435582,57,42,36
-514.5,-1164.0,-3.5596330275229358,57,41,36
110.5,-1053.5,-3.211890243902439,57,42,36
-416.5,-1470.0,-4.468085106382978,57,41,36
48.0,-1422.0,-4.3090909090909095,57,42,36
810.5,-611.5,-1.8474320241691844,57,42,35
1048.0,436.5,1.3147590361445782,57,42,35
-239.5,197.0,0.5915915915915916,57,42,35
-177.0,20.0,0.059880239520958084,57,42,35
71.0,91.0,0.2716417910447761,57,42,35
-564.5,-473.5,-1.4092261904761905,57,42,35
385.5,-88.0,-0.26112759643916916,57,42,35
-527.0,-615.0,-1.819526627218935,57,42,35
385.5,-229.5,-0.6769911504424779,57,42,35
935.5,706.0,2.0764705882352943,57,42,35
-304.0,402.0,1.1788856304985338,57,42,35
-239.5,162.5,0.47514619883040937,57,42,35
60.5,223.0,0.6501457725947521,57,42,35
85.5,308.5,0.8968023255813954,56,42,35
898.0,1206.5,3.4971014492753625,56,42,35
285.5,1492.0,4.312138728323699,56,43,34
-79.0,1413.0,4.072046109510087,56,42,34
435.5,1848.5,5.311781609195402,56,43,34
735.5,2584.0,7.404011461318052,56,43,34
548.0,3132.0,8.948571428571428,56,43,34
-527.0,2605.0,7.421652421652421,56,43,34
173.0,2778.0,7.892045454545454,56,43,34
-29.0,2749.0,7.787535410764873,56,43,34
35.5,2784.5,7.8658192090395485,56,43,34
535.5,3320.0,9.352112676056338,56,43,34
-64.5,3255.5,9.144662921348315,56,43,34
-2.0,3253.5,9.11344537815126,56,43,34
198.0,3451.5,9.641061452513966,56,43,34
158.5,3610.0,10.055710306406684,55,43,33
48.0,3658.0,10.161111111111111,55,43,33
60.5,3718.5,10.300554016620499,55,44,33
1210.5,4929.0,13.616022099447514,55,44,33
-502.0,4427.0,12.195592286501377,55,44,33
248.0,4675.0,12.843406593406593,55,44,33
-379.0,4296.0,11.76986301369863,55,44,33
60.5,4356.5,11.903005464480874,55,44,33
-514.5,3842.0,10.46866485013624,55,44,33
73.0,3915.0,10.638586956521738,55,44,33
398.0,4313.0,11.688346883468835,55,44,33
-27.0,4286.0,11.583783783783783,55,44,33
-204.0,4082.0,11.002695417789758,55,44,33
135.5,4217.5,11.33736559139785,55,44,33
-527.0,3690.5,9.894101876675602,55,44,33
823.0,4513.5,12.068181818181818,55,44,33
-277.0,4236.5,11.297333333333333,55,44,33
-202.0,4034.5,10.730053191489361,55,44,33
83.5,4118.0,10.923076923076923,55,44,33
210.5,4328.5,11.451058201058201,55,44,33
-552.0,3776.5,9.964379947229551,55,44,33
548.0,4324.5,11.380263157894737,55,44,33
-64.5,4260.0,11.181102362204724,55,44,33
-539.5,3720.5,9.739528795811518,55,44,33
-266.5,3454.0,9.018276762402088,55,44,33
735.5,4189.5,10.91015625,55,44,33
573.0,4762.5,12.37012987012987,55,44,32
285.5,5048.0,13.077720207253886,55,44,32
110.5,5158.5,13.329457364341085,55,44,32
-102.0,5056.5,13.032216494845361,55,44,32
171.0,5227.5,13.438303341902314,55,44,32
-564.5,4663.0,11.956410256410257,55,44,32
85.5,4748.5,12.14450127877238,54,44,32
-514.5,4234.0,10.801020408163266,55,44,32
323.0,4557.0,11.595419847328245,54,44,32
273.0,4830.0,12.258883248730964,54,44,32
-141.5,4688.5,11.869620253164557,54,44,32
-364.5,4324.0,10.919191919191919,55,44,32
-639.5,3684.5,9.280856423173804,55,44,32
-602.0,3082.5,7.744974874371859,55,44,32
-564.5,2518.0,6.31077694235589,55,44,33
58.5,2576.5,6.44125,55,44,33
985.5,3562.0,8.88279301745636,55,44,32
-527.0,3035.0,7.5497512437810945,55,44,33
-252.0,2783.0,6.905707196029777,55,44,33
898.0,3681.0,9.111386138613861,55,44,32
-527.0,3154.0,7.787654320987654,55,44,33
221.0,3375.0,8.312807881773399,55,44,33
310.5,3685.5,9.055282555282556,55,44,32
635.5,4321.0,10.590686274509803,54,44,32
-89.5,4231.5,10.34596577017115,55,44,32
23.0,4254.5,10.376829268292683,54,44,32
-227.0,4027.5,9.799270072992702,54,44,32
-366.5,3661.0,8.885922330097088,55,44,32
173.0,3834.0,9.283292978208232,54,44,32
-164.5,3669.5,8.86352657004831,55,44,32
160.5,3830.0,9.228915662650602,54,44,32
-289.5,3540.5,8.510817307692308,55,44,32
923.0,4463.5,10.703836930455635,54,44,32
-241.5,4222.0,10.10047846889952,55,44,32
-127.0,4095.0,9.77326968973747,55,44,31
-189.5,3905.5,9.298809523809524,55,44,31
198.0,4103.5,9.747030878859858,55,44,31
-539.5,3564.0,8.445497630331754,55,44,31
60.5,3624.5,8.56855791962175,55,44,31
-79.0,3545.5,8.362028301886792,55,44,31
285.5,3831.0,9.014117647058823,55,44,31
-614.5,3216.5,7.550469483568075,55,44,31
-539.5,2677.0,6.269320843091335,55,44,32
-514.5,2162.5,5.052570093457944,55,44,32
885.5,3048.0,7.104895104895105,55,44,32
-91.5,2956.5,6.875581395348838,55,44,32
373.0,3329.5,7.725058004640371,55,44,32
248.0,3577.5,8.28125,55,44,31
673.0,4250.5,9.816397228637413,54,44,31
135.5,4386.0,10.105990783410139,54,44,31
148.0,4534.0,10.422988505747126,54,45,31
108.5,4642.5,10.647935779816514,54,45,31
-127.0,4515.5,10.332951945080092,54,45,31
-77.0,4438.5,10.133561643835616,54,44,31
48.0,4486.5,10.219817767653758,54,45,31
1135.5,5622.0,12.777272727272727,54,45,31
135.5,5757.5,13.055555555555555,54,45,31
-116.5,5641.0,12.762443438914028,54,45,31
-152.0,5489.0,12.390519187358917,54,45,31
-27.0,5462.0,12.301801801801801,54,45,31
23.0,5485.0,12.325842696629213,54,45,31
23.0,5508.0,12.349775784753364,54,45,30
-602.0,4906.0,10.975391498881432,54,45,31
-154.0,4752.0,10.607142857142858,54,45,31
235.5,4987.5,11.108017817371937,54,45,30
310.5,5298.0,11.773333333333333,54,45,30
-314.5,4983.5,11.04988913525499,54,45,30
-502.0,4481.5,9.914823008849558,54,45,30
-577.0,3904.5,8.619205298013245,54,45,31
-116.5,3788.0,8.343612334801762,54,44,31
710.5,4498.5,9.886813186813187,54,45,30
-552.0,3946.5,8.654605263157896,54,44,31
-114.5,3832.0,8.385120350109409,54,44,31
110.5,3942.5,8.608078602620088,54,44,31
-77.0,3865.5,8.42156862745098,54,44,30
-204.0,3661.5,7.959782608695652,55,44,30
10.5,3672.0,7.96529284164859,54,44,30
-614.5,3057.5,6.617965367965368,54,44,30
1273.0,4330.5,9.353131749460044,54,44,30
-564.5,3766.0,8.116379310344827,54,44,31
98.0,3864.0,8.30967741935484,54,44,30
71.0,3935.0,8.444206008583691,54,45,30
-102.0,3833.0,8.207708779443255,54,44,30
73.0,3906.0,8.346153846153847,54,45,30
60.5,3966.5,8.457356076759062,54,45,30
-502.0,3464.5,7.371276595744681,54,45,30
710.5,4175.0,8.86411889596603,54,45,30
8.5,4183.5,8.86334745762712,54,45,30
-77.0,4106.5,8.681818181818182,54,45,30
-552.0,3554.5,7.498945147679325,54,45,30
885.5,4440.0,9.347368421052632,54,45,30
173.0,4613.0,9.691176470588236,54,45,30
598.0,5211.0,10.924528301886792,54,45,30
71.0,5282.0,11.05020920502092,54,45,30
-27.0,5255.0,10.970772442588727,54,45,30
185.5,5440.5,11.334375,54,45,30
510.5,5951.0,12.372141372141373,54,45,30
35.5,5986.5,12.4201244813278,53,45,30
-114.5,5872.0,12.157349896480332,54,45,30
96.0,5968.0,12.330578512396695,53,45,30
85.5,6053.5,12.481443298969072,53,45,30
223.0,6276.5,12.914609053497943,53,46,30
260.5,6537.0,13.42299794661191,53,46,29
-502.0,6035.0,12.366803278688524,53,46,30
298.0,6333.0,12.950920245398773,53,46,30
-79.0,6254.0,12.763265306122449,53,46,30
260.5,6514.5,13.267820773930753,53,46,29
48.0,6562.5,13.338414634146341,53,46,29
-514.5,6048.0,12.267748478701826,53,46,30
10.5,6058.5,12.26417004048583,53,46,29
35.5,6094.0,12.311111111111112,53,46,29
-129.0,5965.0,12.026209677419354,53,46,29
-77.0,5888.0,11.847082494969818,53,46,29
-527.0,5361.0,10.765060240963855,53,46,29
98.0,5459.0,10.939879759519037,53,46,29
-514.5,4944.5,9.889,53,46,30
260.5,5205.0,10.389221556886227,53,46,29
33.5,5238.5,10.435258964143426,53,46,29
1085.5,6324.0,12.572564612326044,53,46,29
-289.5,6034.5,11.973214285714286,53,46,29
85.5,6120.0,12.118811881188119,53,46,29
-564.5,5555.5,10.979249011857707,53,46,29
-527.0,5028.5,9.918145956607495,53,46,29
196.0,5224.5,10.284448818897637,53,46,29
385.5,5610.0,11.021611001964637,53,46,29
798.0,6408.0,12.564705882352941,53,46,29
-527.0,5881.0,11.50880626223092,53,46,29
48.0,5929.0,11.580078125,53,46,29
-2.0,5927.0,11.553606237816764,53,46,29
183.5,6110.5,11.888132295719844,53,46,29
-602.0,5508.5,10.696116504854368,53,46,29
960.5,6469.0,12.536821705426357,53,46,29
435.5,6904.5,13.354932301740812,52,46,29
685.5,7590.0,14.652509652509652,52,46,29
135.5,7725.5,14.885356454720617,52,47,29
233.5,7959.0,15.305769230769231,52,47,29
60.5,8019.5,15.392514395393475,52,47,29
-614.5,7405.0,14.185823754789272,52,47,29
198.0,7603.0,14.537284894837477,52,47,29
110.5,7713.5,14.720419847328245,52,47,29
-27.0,7686.5,14.640952380952381,52,47,29
-129.0,7557.5,14.36787072243346,52,47,29
710.5,8268.0,15.688804554079697,52,47,29
335.5,8603.5,16.294507575757574,52,47,29
-27.0,8576.5,16.21266540642722,52,47,29
10.5,8587.0,16.20188679245283,52,47,29
360.5,8947.5,16.850282485875706,52,47,29
-79.0,8868.5,16.670112781954888,52,47,29
-27.0,8841.5,16.588180112570356,52,47,29
48.0,8889.5,16.64700374531835,52,47,29
10.5,8900.0,16.635514018691588,52,47,28
-564.5,8335.5,15.551305970149254,52,47,29
273.0,8608.5,16.03072625698324,52,47,29
233.5,8842.0,16.434944237918216,52,47,28
-602.0,8240.0,15.287569573283859,52,47,29
98.0,8338.0,15.440740740740742,52,47,29
410.5,8748.5,16.17097966728281,52,47,29
110.5,8859.0,16.3450184501845,52,47,28
535.5,9394.5,17.30110497237569,51,47,28
233.5,9628.0,17.698529411764707,51,47,28
473.0,10101.0,18.53394495412844,51,48,28
160.5,10261.5,18.793956043956044,51,48,28
223.0,10484.5,19.1672760511883,51,48,28
660.5,11145.0,20.337591240875913,51,48,28
-239.5,10905.5,19.864298724954462,51,48,28
46.0,10951.5,19.91181818181818,51,48,28
-139.5,10812.0,19.62250453720508,51,48,28
223.0,11035.0,19.990942028985508,51,48,28
110.5,11145.5,20.154611211573236,51,48,28
-39.5,11106.0,20.04693140794224,51,48,28
123.0,11229.0,20.232432432432432,51,48,28
96.0,11325.0,20.368705035971225,51,48,28
60.5,11385.5,20.440754039497307,51,48,28
60.5,11446.0,20.512544802867385,51,48,28
73.0,11519.0,20.60644007155635,50,48,28
-577.0,10942.0,19.539285714285715,51,48,28
348.0,11290.0,20.124777183600713,50,48,28
321.0,11611.0,20.660142348754448,50,48,28
-527.0,11084.0,19.687388987566607,50,48,28
-14.5,11069.5,19.62677304964539,51,48,28
-527.0,10542.5,18.65929203539823,51,48,28
210.5,10753.0,18.998233215547703,51,48,28
748.0,11501.0,20.28395061728395,50,48,28
21.0,11522.0,20.285211267605632,50,48,28
-164.5,11357.5,19.960456942003514,50,48,28
335.5,11693.0,20.514035087719297,50,48,28
