Date,Time,Open,High,Low,Close,Volume
12/28/2003,00:00,3969.040039,4022.959961,3969.040039,4018.5,62413600
01/04/2004,00:00,4019.9399409999996,4073.330078,3982.830078,4016.179932,592316600
01/11/2004,00:00,4010.0500490000004,4122.930176,3980.1899409999996,4111.640136999999,587893300
01/18/2004,00:00,4111.890136999999,4171.490234000001,4099.470215,4151.830078,533815400
01/25/2004,00:00,4152.089844,4175.47998,4048.5200200000004,4058.600098,533529500
02/01/2004,00:00,4062.790039,4087.209961,4007.8701170000004,4044.98999,486490300
02/08/2004,00:00,4051.360107,4150.560059,4047.919922,4057.0500490000004,420879300
02/15/2004,00:00,4054.959961,4147.339844,4040.48999,4073.350098,444607100
02/22/2004,00:00,4074.110107,4106.080078,3960.4099119999996,4018.1599119999996,505672200
02/29/2004,00:00,4026.1899409999996,4151.839844,4026.1899409999996,4126.140136999999,473940400
03/07/2004,00:00,4131.339844,4163.189941,3824.540039,3915.3798829999996,600379900
03/14/2004,00:00,3908.610107,3909.8701170000004,3775.110107,3819.149902,733057500
03/21/2004,00:00,3802.530029,3849.98999,3692.399902,3822.330078,618626900
03/28/2004,00:00,3828.040039,4008.080078,3823.669922,4007.600098,496249400
04/04/2004,00:00,4015.2299799999996,4065.709961,4000.4399409999996,4013.530029,373137800
04/11/2004,00:00,4016.0900880000004,4094.2299799999996,3970.0200200000004,4033.9799799999996,371808900
04/18/2004,00:00,4033.0,4129.140136999999,3995.5900880000004,4103.620117,512746400
04/25/2004,00:00,4105.970215,4156.890136999999,3968.860107,3985.209961,558384100
05/02/2004,00:00,3972.8798829999996,4029.320068,3852.899902,3895.639893,485467600
05/09/2004,00:00,3894.9799799999996,3894.9799799999996,3769.5900880000004,3803.100098,525401100
05/16/2004,00:00,3801.469971,3883.149902,3710.0200200000004,3831.8400880000004,444400400
05/23/2004,00:00,3842.4099119999996,3940.709961,3809.9799799999996,3902.719971,398028600
05/30/2004,00:00,3904.389893,3973.570068,3856.040039,3961.929932,333011300
06/06/2004,00:00,3973.4499509999996,4040.7700200000004,3973.4499509999996,4014.5600590000004,346750100
06/13/2004,00:00,4008.610107,4018.600098,3933.1201170000004,3999.790039,468569700
06/20/2004,00:00,4008.5,4029.110107,3916.419922,4013.350098,408251800
06/27/2004,00:00,4016.820068,4101.52002,3990.5,3998.7700200000004,419883400
07/04/2004,00:00,3998.1899409999996,4011.540039,3882.75,3924.48999,380999800
07/11/2004,00:00,3911.540039,3928.070068,3837.6298829999996,3845.929932,404135000
07/18/2004,00:00,3845.030029,3899.419922,3785.290039,3797.330078,428408400
07/25/2004,00:00,3795.6599119999996,3911.3000490000004,3749.040039,3895.610107,447685300
08/01/2004,00:00,3891.179932,3891.780029,3719.459961,3727.73999,434369600
08/08/2004,00:00,3726.51001,3736.5500490000004,3618.6899409999996,3646.98999,498320500
08/15/2004,00:00,3643.080078,3758.51001,3618.580078,3712.610107,407006600
08/22/2004,00:00,3722.2299799999996,3856.030029,3722.2299799999996,3851.179932,363310300
08/29/2004,00:00,3848.8000490000004,3882.780029,3778.1899409999996,3866.98999,384471100
09/05/2004,00:00,3867.4499509999996,3905.110107,3836.040039,3886.030029,357516900
09/12/2004,00:00,3890.290039,4000.1298829999996,3890.290039,3988.070068,501009100
09/19/2004,00:00,3986.330078,3999.469971,3887.8400880000004,3910.3000490000004,447831000
09/26/2004,00:00,3905.73999,3996.110107,3848.280029,3994.959961,446678700
10/03/2004,00:00,4005.639893,4078.5,4001.5200200000004,4015.540039,496774500
10/10/2004,00:00,4011.830078,4026.98999,3897.4799799999996,3922.110107,517454000
10/17/2004,00:00,3926.51001,3983.4499509999996,3889.719971,3935.139893,432124900
10/24/2004,00:00,3880.4799799999996,3994.1899409999996,3838.9799799999996,3960.25,502157200
