iteration,trainAccuracy,trainCoverage,trainReward,validationAccuracy,validationCoverage,validationReward
0,0.5286839145106862,0.5626582278481013,-17975.0,0.6371681415929203,0.37666666666666665,9062.5
1,0.6178381571175429,0.535759493670886,191912.5,0.5660377358490566,0.53,4412.5
2,0.7158924205378973,0.6471518987341772,395462.5,0.5822222222222222,0.75,15525.0
3,0.7772397094430993,0.7841772151898734,641162.5,0.5243445692883895,0.89,-3037.5
4,0.823076923076923,0.8639240506329114,810787.5,0.5209790209790209,0.9533333333333334,-500.0
5,0.9105227882037533,0.9443037974683545,1117150.0,0.519163763066202,0.9566666666666667,4650.0
6,0.9289744440756721,0.9534810126582278,1191237.5,0.5173611111111112,0.96,1225.0
7,0.9352253756260434,0.9477848101265823,1160350.0,0.5017182130584192,0.97,1175.0
8,0.9340033500837521,0.944620253164557,1160775.0,0.503448275862069,0.9666666666666667,-4675.0
9,0.9421598127716483,0.9465189873417722,1140012.5,0.5310344827586206,0.9666666666666667,8975.0
10,0.942326814716606,0.954746835443038,1191237.5,0.5120274914089347,0.97,3837.5
11,0.9506666666666667,0.9493670886075949,1161162.5,0.5310344827586206,0.9666666666666667,7100.0
12,0.9484193011647255,0.9509493670886076,1173762.5,0.5379310344827586,0.9666666666666667,12375.0
13,0.9491863168382597,0.9528481012658228,1166375.0,0.5360824742268041,0.97,10837.5
14,0.9487179487179487,0.9503164556962025,1151200.0,0.5241379310344828,0.9666666666666667,3150.0
15,0.9481951871657754,0.9468354430379747,1138450.0,0.5154639175257731,0.97,-1737.5
16,0.9541375872382851,0.9522151898734177,1203162.5,0.5344827586206896,0.9666666666666667,1325.0
17,0.9546364242828552,0.9487341772151898,1191162.5,0.5379310344827586,0.9666666666666667,1612.5
18,0.9542440318302388,0.9544303797468354,1222150.0,0.5379310344827586,0.9666666666666667,5900.0
19,0.9573901464713716,0.950632911392405,1190425.0,0.5224913494809689,0.9633333333333334,-7037.5
20,0.9874234118026443,0.9813291139240506,1337562.5,0.532871972318339,0.9633333333333334,-275.0
21,0.988360814742968,0.9787974683544304,1337475.0,0.5498281786941581,0.97,-475.0
22,0.9841731266149871,0.979746835443038,1319425.0,0.5086505190311419,0.9633333333333334,-2562.5
23,0.9883720930232558,0.979746835443038,1327037.5,0.5413793103448276,0.9666666666666667,937.5
24,0.9851565020974508,0.9806962025316456,1375175.0,0.5551724137931034,0.9666666666666667,6575.0
25,0.9877537866580728,0.9819620253164557,1348187.5,0.5379310344827586,0.9666666666666667,2400.0
26,0.9890499194847021,0.9825949367088608,1333175.0,0.5551724137931034,0.9666666666666667,11600.0
27,0.9871341267288517,0.9838607594936709,1327637.5,0.5429553264604811,0.97,-137.5
28,0.9864995178399228,0.984493670886076,1315350.0,0.5223367697594502,0.97,412.5
29,0.9900353584056574,0.984493670886076,1318437.5,0.5463917525773195,0.97,7312.5
30,0.991321118611379,0.984493670886076,1315187.5,0.5601374570446735,0.97,9850.0
31,0.9884244372990354,0.9841772151898734,1314462.5,0.5498281786941581,0.97,6787.5
32,0.9881067180970748,0.984493670886076,1323312.5,0.5620689655172414,0.9666666666666667,5500.0
33,0.9909996785599485,0.984493670886076,1323800.0,0.5448275862068965,0.9666666666666667,4562.5
34,0.9877813504823151,0.9841772151898734,1316112.5,0.5379310344827586,0.9666666666666667,5487.5
35,0.9890463917525774,0.9822784810126582,1311625.0,0.5586206896551724,0.9666666666666667,9137.5
36,0.989674088415618,0.9806962025316456,1310675.0,0.5379310344827586,0.9666666666666667,4287.5
37,0.9900096680631647,0.9819620253164557,1318550.0,0.5482758620689655,0.9666666666666667,10875.0
38,0.9900096680631647,0.9819620253164557,1319325.0,0.570446735395189,0.97,14825.0
39,0.9864253393665159,0.9791139240506329,1344675.0,0.5259515570934256,0.9633333333333334,6812.5
